goos: linux
goarch: amd64
pkg: uk.ac.bris.cs/concurrency1/filter
cpu: Intel(R) Core(TM) i7-8665U CPU @ 1.90GHz
,results.out
,sec/op,CI
Filter/1_workers-8,0.2532667625,1%
Filter/2_workers-8,0.1537479885,7%
Filter/4_workers-8,0.1362896335,17%
Filter/8_workers-8,0.13363308200000001,7%
Filter/16_workers-8,0.129055879,5%
geomean,0.15570711162255516
